Time,Y_1,Y_2,X_1,X_2,U_1,U_2
11216.0,0.3565214,0.46650067,0.3565214,0.46650067,0.39959884,0.077654175
11217.0,0.36203057,0.46565202,0.36203057,0.46565202,0.39959884,0.077654175
11218.0,0.3673596,0.46500537,0.3673596,0.46500537,0.39959884,0.077654175
11219.0,0.37251565,0.46454784,0.37251565,0.46454784,0.39959884,0.077654175
11220.0,0.37750548,0.46426737,0.37750548,0.46426737,0.39959884,0.077654175
11221.0,0.38233548,0.4641525,0.38233548,0.4641525,0.39959884,0.077654175
11222.0,0.38701174,0.4641924,0.38701174,0.4641924,0.39959884,0.077654175
11223.0,0.39154008,0.46437696,0.39154008,0.46437696,0.39959884,0.077654175
11224.0,0.39592594,0.46469656,0.39592594,0.46469656,0.39959884,0.077654175
11225.0,0.4001746,0.4651421,0.4001746,0.4651421,0.39959884,0.077654175
11226.0,0.404291,0.46570507,0.404291,0.46570507,0.39959884,0.077654175
11227.0,0.40827996,0.4663774,0.40827996,0.4663774,0.39959884,0.077654175
11228.0,0.41214597,0.46715146,0.41214597,0.46715146,0.39959884,0.077654175
11229.0,0.41589344,0.46802005,0.41589344,0.46802005,0.39959884,0.077654175
11230.0,0.41952643,0.4689764,0.41952643,0.4689764,0.39959884,0.077654175
11231.0,0.42304894,0.47001407,0.42304894,0.47001407,0.39959884,0.077654175
11232.0,0.42646483,0.47112703,0.42646483,0.47112703,0.39959884,0.077654175
11233.0,0.42977765,0.47230956,0.42977765,0.47230956,0.39959884,0.077654175
11234.0,0.43299094,0.47355628,0.43299094,0.47355628,0.39959884,0.077654175
11235.0,0.43610805,0.4748621,0.43610805,0.4748621,0.39959884,0.077654175
11236.0,0.43913215,0.47622222,0.43913215,0.47622222,0.39959884,0.077654175
11237.0,0.44206634,0.47763208,0.44206634,0.47763208,0.39959884,0.077654175
11238.0,0.4449136,0.4790874,0.4449136,0.4790874,0.39959884,0.077654175
11239.0,0.44767672,0.4805842,0.44767672,0.4805842,0.39959884,0.077654175
11240.0,0.4503585,0.48211864,0.4503585,0.48211864,0.39959884,0.077654175
11241.0,0.4529615,0.48368713,0.4529615,0.48368713,0.39959884,0.077654175
11242.0,0.45548832,0.48528627,0.45548832,0.48528627,0.39959884,0.077654175
11243.0,0.45794135,0.48691288,0.45794135,0.48691288,0.39959884,0.077654175
11244.0,0.46032292,0.48856395,0.46032292,0.48856395,0.39959884,0.077654175
11245.0,0.46263534,0.49023664,0.46263534,0.49023664,0.39959884,0.077654175
11246.0,0.46488073,0.49192828,0.46488073,0.49192828,0.39959884,0.077654175
11247.0,0.46706122,0.49363637,0.46706122,0.49363637,0.39959884,0.077654175
11248.0,0.46917883,0.4953585,0.46917883,0.4953585,0.39959884,0.077654175
11249.0,0.47123548,0.49709246,0.47123548,0.49709246,0.39959884,0.077654175
11250.0,0.4732331,0.49883613,0.4732331,0.49883613,0.39959884,0.077654175
11251.0,0.47517347,0.5005876,0.47517347,0.5005876,0.39959884,0.077654175
11252.0,0.47705835,0.5023449,0.47705835,0.5023449,0.39959884,0.077654175
11253.0,0.4788894,0.5041064,0.4788894,0.5041064,0.39959884,0.077654175
11254.0,0.48066834,0.5058704,0.48066834,0.5058704,0.39959884,0.077654175
11255.0,0.48239666,0.5076353,0.48239666,0.5076353,0.39959884,0.077654175
11256.0,0.48407593,0.5093998,0.48407593,0.5093998,0.39959884,0.077654175
11257.0,0.48570764,0.5111624,0.48570764,0.5111624,0.39959884,0.077654175
11258.0,0.48729315,0.5129219,0.48729315,0.5129219,0.39959884,0.077654175
11259.0,0.4888339,0.51467717,0.4888339,0.51467717,0.39959884,0.077654175
11260.0,0.4903312,0.516427,0.4903312,0.516427,0.39959884,0.077654175
11261.0,0.49178633,0.51817036,0.49178633,0.51817036,0.39959884,0.077654175
11262.0,0.49320057,0.5199063,0.49320057,0.5199063,0.39959884,0.077654175
11263.0,0.49457508,0.5216339,0.49457508,0.5216339,0.39959884,0.077654175
11264.0,0.49591106,0.5233523,0.49591106,0.5233523,0.39959884,0.077654175
11265.0,0.4972096,0.52506083,0.4972096,0.52506083,0.39959884,0.077654175
11266.0,0.49847186,0.5267586,0.49847186,0.5267586,0.39959884,0.077654175
11267.0,0.49969885,0.528445,0.49969885,0.528445,0.39959884,0.077654175
11268.0,0.5008916,0.5301194,0.5008916,0.5301194,0.39959884,0.077654175
11269.0,0.5020512,0.53178126,0.5020512,0.53178126,0.39959884,0.077654175
11270.0,0.5031784,0.5334299,0.5031784,0.5334299,0.39959884,0.077654175
11271.0,0.50427437,0.535065,0.50427437,0.535065,0.39959884,0.077654175
11272.0,0.5053398,0.53668594,0.5053398,0.53668594,0.39959884,0.077654175
11273.0,0.50637573,0.53829247,0.50637573,0.53829247,0.39959884,0.077654175
11274.0,0.507383,0.53988403,0.507383,0.53988403,0.39959884,0.077654175
11275.0,0.5083623,0.54146045,0.5083623,0.54146045,0.39959884,0.077654175
11276.0,0.50931454,0.54302126,0.50931454,0.54302126,0.39959884,0.077654175
11277.0,0.51024044,0.5445663,0.51024044,0.5445663,0.39959884,0.077654175
11278.0,0.5111408,0.5460952,0.5111408,0.5460952,0.39959884,0.077654175
11279.0,0.51201636,0.5476078,0.51201636,0.5476078,0.39959884,0.077654175
